scope,task,dataset_index,layer_idx,tensor_axis,policy,k_bits,v_bits,model,git_commit,seed,prompt_input_tokens,actual_generated_token_count,requested_decode_steps,sampled_decode_steps,valid_step_count,no_decode_exposure,sample_attention_distortion,per_step_distortions
primary,passage_retrieval_en,105,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,15066,5,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.06480930800737068,"[{""decode_step"": 1, ""distortion"": 0.0649809873340121}, {""decode_step"": 2, ""distortion"": 0.06273210558130636}, {""decode_step"": 4, ""distortion"": 0.0667148311067936}]"
primary,passage_retrieval_en,41,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,15832,6,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.06411428796733774,"[{""decode_step"": 1, ""distortion"": 0.06399487125247502}, {""decode_step"": 2, ""distortion"": 0.06189838706855745}, {""decode_step"": 4, ""distortion"": 0.06644960558098074}]"
primary,2wikimqa,164,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,5528,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.0721509886819259,"[{""decode_step"": 1, ""distortion"": 0.06973680061878222}, {""decode_step"": 2, ""distortion"": 0.07224865545367957}, {""decode_step"": 4, ""distortion"": 0.07293132326802539}, {""decode_step"": 8, ""distortion"": 0.06930919979078744}, {""decode_step"": 16, ""distortion"": 0.07652896427835494}]"
primary,2wikimqa,44,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,7240,3,"[1, 2, 4, 8, 16]","[1, 2]",2,False,0.0680131834830249,"[{""decode_step"": 1, ""distortion"": 0.06864154302542798}, {""decode_step"": 2, ""distortion"": 0.06738482394062181}]"
primary,2wikimqa,138,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,7852,8,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.06924882600038378,"[{""decode_step"": 1, ""distortion"": 0.07057289409246086}, {""decode_step"": 2, ""distortion"": 0.06760971627762352}, {""decode_step"": 4, ""distortion"": 0.06956386763106692}]"
primary,2wikimqa,38,0,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,11086,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.06826767806220127,"[{""decode_step"": 1, ""distortion"": 0.0687186655319005}, {""decode_step"": 2, ""distortion"": 0.06762600242268406}, {""decode_step"": 4, ""distortion"": 0.06837695482126081}, {""decode_step"": 8, ""distortion"": 0.0683869271615197}, {""decode_step"": 16, ""distortion"": 0.0682298403736413}]"
primary,trec,153,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,4325,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.3612460405043115,"[{""decode_step"": 1, ""distortion"": 0.4150413546743812}, {""decode_step"": 2, ""distortion"": 0.360160888973354}, {""decode_step"": 4, ""distortion"": 0.2847363034350507}, {""decode_step"": 8, ""distortion"": 0.3651608118423294}, {""decode_step"": 16, ""distortion"": 0.38113084359644217}]"
primary,trec,154,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,6881,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.3592282634244223,"[{""decode_step"": 1, ""distortion"": 0.39348906460269745}, {""decode_step"": 2, ""distortion"": 0.38785229044522357}, {""decode_step"": 4, ""distortion"": 0.3692545458343374}, {""decode_step"": 8, ""distortion"": 0.3761953172001864}, {""decode_step"": 16, ""distortion"": 0.2693500990396668}]"
primary,trec,82,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,8914,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.32026536342896367,"[{""decode_step"": 1, ""distortion"": 0.3600455233328689}, {""decode_step"": 2, ""distortion"": 0.2728629200331599}, {""decode_step"": 4, ""distortion"": 0.31848140566951666}, {""decode_step"": 8, ""distortion"": 0.3809983875146543}, {""decode_step"": 16, ""distortion"": 0.2689385805946186}]"
primary,trec,151,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,11115,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.3709360026018282,"[{""decode_step"": 1, ""distortion"": 0.3803692701067559}, {""decode_step"": 2, ""distortion"": 0.3777776387470717}, {""decode_step"": 4, ""distortion"": 0.36125466507856496}, {""decode_step"": 8, ""distortion"": 0.3687317328945139}, {""decode_step"": 16, ""distortion"": 0.3665467061822345}]"
primary,lcc,122,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,3489,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.3583333738891181,"[{""decode_step"": 1, ""distortion"": 0.3519743705086238}, {""decode_step"": 2, ""distortion"": 0.3521645816320089}, {""decode_step"": 4, ""distortion"": 0.35410436580148674}, {""decode_step"": 8, ""distortion"": 0.3566121713794217}, {""decode_step"": 16, ""distortion"": 0.37681138012404947}]"
primary,lcc,174,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,2600,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.3113818752401639,"[{""decode_step"": 1, ""distortion"": 0.3238297138246921}, {""decode_step"": 2, ""distortion"": 0.3158229874234726}, {""decode_step"": 4, ""distortion"": 0.316391443358063}, {""decode_step"": 8, ""distortion"": 0.3235308321664219}, {""decode_step"": 16, ""distortion"": 0.2773343994281699}]"
primary,lcc,214,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,5140,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.29049374096910496,"[{""decode_step"": 1, ""distortion"": 0.3123772419454188}, {""decode_step"": 2, ""distortion"": 0.2834453670594674}, {""decode_step"": 4, ""distortion"": 0.29200188604787974}, {""decode_step"": 8, ""distortion"": 0.2779667640722133}, {""decode_step"": 16, ""distortion"": 0.28667744572054543}]"
primary,lcc,357,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,3996,15,"[1, 2, 4, 8, 16]","[1, 2, 4, 8]",4,False,0.32738686554342067,"[{""decode_step"": 1, ""distortion"": 0.3370258834500817}, {""decode_step"": 2, ""distortion"": 0.3255533789492293}, {""decode_step"": 4, ""distortion"": 0.3277767664656741}, {""decode_step"": 8, ""distortion"": 0.31919143330869765}]"
primary,passage_retrieval_en,141,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,13442,5,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.26080593134778357,"[{""decode_step"": 1, ""distortion"": 0.26504664328567945}, {""decode_step"": 2, ""distortion"": 0.2604276538775142}, {""decode_step"": 4, ""distortion"": 0.25694349688015716}]"
primary,passage_retrieval_en,185,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,13611,6,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.2638999174786857,"[{""decode_step"": 1, ""distortion"": 0.26842565923795964}, {""decode_step"": 2, ""distortion"": 0.2617289602842957}, {""decode_step"": 4, ""distortion"": 0.2615451329138017}]"
primary,passage_retrieval_en,105,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,15066,5,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.255250315757448,"[{""decode_step"": 1, ""distortion"": 0.26003108157571553}, {""decode_step"": 2, ""distortion"": 0.25420264597512426}, {""decode_step"": 4, ""distortion"": 0.2515172197215042}]"
primary,passage_retrieval_en,41,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,15832,6,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.2551292038224249,"[{""decode_step"": 1, ""distortion"": 0.25941952038972577}, {""decode_step"": 2, ""distortion"": 0.25131578296218476}, {""decode_step"": 4, ""distortion"": 0.25465230811536416}]"
primary,2wikimqa,164,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,5528,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.2547464223950129,"[{""decode_step"": 1, ""distortion"": 0.261944213337657}, {""decode_step"": 2, ""distortion"": 0.24952169701701926}, {""decode_step"": 4, ""distortion"": 0.24892629480353615}, {""decode_step"": 8, ""distortion"": 0.25729970060280777}, {""decode_step"": 16, ""distortion"": 0.25604020621404416}]"
primary,2wikimqa,44,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,7240,3,"[1, 2, 4, 8, 16]","[1, 2]",2,False,0.26709673618635665,"[{""decode_step"": 1, ""distortion"": 0.2678139447561061}, {""decode_step"": 2, ""distortion"": 0.2663795276166072}]"
primary,2wikimqa,138,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,7852,8,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.25690584362652946,"[{""decode_step"": 1, ""distortion"": 0.25160048057837503}, {""decode_step"": 2, ""distortion"": 0.25749662533130546}, {""decode_step"": 4, ""distortion"": 0.26162042496990784}]"
primary,2wikimqa,38,0,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,11086,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.26473997854214704,"[{""decode_step"": 1, ""distortion"": 0.2737059812426126}, {""decode_step"": 2, ""distortion"": 0.262091646745554}, {""decode_step"": 4, ""distortion"": 0.26129603380019034}, {""decode_step"": 8, ""distortion"": 0.2623114600941696}, {""decode_step"": 16, ""distortion"": 0.2642947708282085}]"
primary,trec,153,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,4325,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.03437904980970136,"[{""decode_step"": 1, ""distortion"": 0.03450672281881404}, {""decode_step"": 2, ""distortion"": 0.03453236660398299}, {""decode_step"": 4, ""distortion"": 0.0341763808716764}, {""decode_step"": 8, ""distortion"": 0.03435643191333826}, {""decode_step"": 16, ""distortion"": 0.03432334684069513}]"
primary,trec,154,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,6881,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.03411953665917122,"[{""decode_step"": 1, ""distortion"": 0.034044947975402876}, {""decode_step"": 2, ""distortion"": 0.03442591451091651}, {""decode_step"": 4, ""distortion"": 0.03391456407024065}, {""decode_step"": 8, ""distortion"": 0.03432045991158737}, {""decode_step"": 16, ""distortion"": 0.033891796827708716}]"
primary,trec,82,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,8914,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.03443370502773992,"[{""decode_step"": 1, ""distortion"": 0.033898748892749526}, {""decode_step"": 2, ""distortion"": 0.03432002692443925}, {""decode_step"": 4, ""distortion"": 0.03536554645443861}, {""decode_step"": 8, ""distortion"": 0.03401834535079978}, {""decode_step"": 16, ""distortion"": 0.03456585751627245}]"
primary,trec,151,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,11115,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.03474947293094598,"[{""decode_step"": 1, ""distortion"": 0.03468634884182433}, {""decode_step"": 2, ""distortion"": 0.034733431578762644}, {""decode_step"": 4, ""distortion"": 0.03446248214983562}, {""decode_step"": 8, ""distortion"": 0.034936802733368966}, {""decode_step"": 16, ""distortion"": 0.03492829935093832}]"
primary,lcc,122,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,3489,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.031240523020657752,"[{""decode_step"": 1, ""distortion"": 0.03052837994583558}, {""decode_step"": 2, ""distortion"": 0.031027158962643388}, {""decode_step"": 4, ""distortion"": 0.03185565487199482}, {""decode_step"": 8, ""distortion"": 0.031230604171326698}, {""decode_step"": 16, ""distortion"": 0.03156081715148828}]"
primary,lcc,174,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,2600,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.032005888198051016,"[{""decode_step"": 1, ""distortion"": 0.03096218643344466}, {""decode_step"": 2, ""distortion"": 0.03189855517674971}, {""decode_step"": 4, ""distortion"": 0.030978274729524767}, {""decode_step"": 8, ""distortion"": 0.03302414326084892}, {""decode_step"": 16, ""distortion"": 0.033166281389687025}]"
primary,lcc,214,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,5140,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.029473026161627492,"[{""decode_step"": 1, ""distortion"": 0.029247914054352883}, {""decode_step"": 2, ""distortion"": 0.029809552808853272}, {""decode_step"": 4, ""distortion"": 0.029336880090990208}, {""decode_step"": 8, ""distortion"": 0.02984832507292483}, {""decode_step"": 16, ""distortion"": 0.029122458781016276}]"
primary,lcc,357,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,3996,15,"[1, 2, 4, 8, 16]","[1, 2, 4, 8]",4,False,0.03238117381855797,"[{""decode_step"": 1, ""distortion"": 0.0321074172962306}, {""decode_step"": 2, ""distortion"": 0.03201329939274477}, {""decode_step"": 4, ""distortion"": 0.0319405848418699}, {""decode_step"": 8, ""distortion"": 0.033463393743386596}]"
primary,passage_retrieval_en,141,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,13442,5,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.036007704688442055,"[{""decode_step"": 1, ""distortion"": 0.0358976000028604}, {""decode_step"": 2, ""distortion"": 0.035900154811949386}, {""decode_step"": 4, ""distortion"": 0.03622535925051637}]"
primary,passage_retrieval_en,185,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,13611,6,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.03561606894038584,"[{""decode_step"": 1, ""distortion"": 0.03552069984854528}, {""decode_step"": 2, ""distortion"": 0.035593719521339114}, {""decode_step"": 4, ""distortion"": 0.035733787451273126}]"
primary,passage_retrieval_en,105,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,15066,5,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.03543909056328559,"[{""decode_step"": 1, ""distortion"": 0.03523995550110453}, {""decode_step"": 2, ""distortion"": 0.035483227434555606}, {""decode_step"": 4, ""distortion"": 0.03559408875419663}]"
primary,passage_retrieval_en,41,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,15832,6,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.035376416363448536,"[{""decode_step"": 1, ""distortion"": 0.03525307768326415}, {""decode_step"": 2, ""distortion"": 0.03542018658413342}, {""decode_step"": 4, ""distortion"": 0.03545598482294803}]"
primary,2wikimqa,164,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,5528,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.033632048521540975,"[{""decode_step"": 1, ""distortion"": 0.033424993730077436}, {""decode_step"": 2, ""distortion"": 0.03269180015463276}, {""decode_step"": 4, ""distortion"": 0.03408111445529819}, {""decode_step"": 8, ""distortion"": 0.03351432019609255}, {""decode_step"": 16, ""distortion"": 0.03444801407160393}]"
primary,2wikimqa,44,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,7240,3,"[1, 2, 4, 8, 16]","[1, 2]",2,False,0.03344914768797255,"[{""decode_step"": 1, ""distortion"": 0.033084183870595536}, {""decode_step"": 2, ""distortion"": 0.03381411150534956}]"
primary,2wikimqa,138,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,7852,8,"[1, 2, 4, 8, 16]","[1, 2, 4]",3,False,0.03412453430761007,"[{""decode_step"": 1, ""distortion"": 0.0336730484889661}, {""decode_step"": 2, ""distortion"": 0.03307114866543868}, {""decode_step"": 4, ""distortion"": 0.03562940576842542}]"
primary,2wikimqa,38,4,key,K2/V16,2,16,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,11086,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.03446694723968645,"[{""decode_step"": 1, ""distortion"": 0.0345137406669297}, {""decode_step"": 2, ""distortion"": 0.03380583676982268}, {""decode_step"": 4, ""distortion"": 0.03448356130477474}, {""decode_step"": 8, ""distortion"": 0.034133813865434584}, {""decode_step"": 16, ""distortion"": 0.03539778359147055}]"
primary,trec,153,4,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,4325,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.12414519637456907,"[{""decode_step"": 1, ""distortion"": 0.15552459884125835}, {""decode_step"": 2, ""distortion"": 0.12328468532497133}, {""decode_step"": 4, ""distortion"": 0.08224207743455553}, {""decode_step"": 8, ""distortion"": 0.13968892827372695}, {""decode_step"": 16, ""distortion"": 0.11998569199833316}]"
primary,trec,154,4,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,6881,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.16117362096065388,"[{""decode_step"": 1, ""distortion"": 0.19033769709479129}, {""decode_step"": 2, ""distortion"": 0.15851376605789957}, {""decode_step"": 4, ""distortion"": 0.17207435323661732}, {""decode_step"": 8, ""distortion"": 0.16634585085732606}, {""decode_step"": 16, ""distortion"": 0.11859643755663517}]"
primary,trec,82,4,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,8914,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.16927902973282874,"[{""decode_step"": 1, ""distortion"": 0.2300466656231403}, {""decode_step"": 2, ""distortion"": 0.1281991463355678}, {""decode_step"": 4, ""distortion"": 0.11800461761918384}, {""decode_step"": 8, ""distortion"": 0.22112097169779293}, {""decode_step"": 16, ""distortion"": 0.14902374738845878}]"
primary,trec,151,4,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,11115,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.1634121243401875,"[{""decode_step"": 1, ""distortion"": 0.20933491187717795}, {""decode_step"": 2, ""distortion"": 0.18977955927530737}, {""decode_step"": 4, ""distortion"": 0.15482552160304536}, {""decode_step"": 8, ""distortion"": 0.16709045430959385}, {""decode_step"": 16, ""distortion"": 0.09603017463581301}]"
primary,lcc,122,4,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,3489,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.13914525126636712,"[{""decode_step"": 1, ""distortion"": 0.14282494647774263}, {""decode_step"": 2, ""distortion"": 0.13777800141127286}, {""decode_step"": 4, ""distortion"": 0.1428026648804255}, {""decode_step"": 8, ""distortion"": 0.15714336113483768}, {""decode_step"": 16, ""distortion"": 0.11517728242755694}]"
primary,lcc,174,4,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,2600,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.11972375862348053,"[{""decode_step"": 1, ""distortion"": 0.14180883030581967}, {""decode_step"": 2, ""distortion"": 0.13240727855201695}, {""decode_step"": 4, ""distortion"": 0.09097289231610091}, {""decode_step"": 8, ""distortion"": 0.16871777562709211}, {""decode_step"": 16, ""distortion"": 0.06471201631637297}]"
primary,lcc,214,4,value,K16/V2,16,2,lmsys/longchat-7b-v1.5-32k,72e24f9241451c7aa799dde9773eb52e8ced88af,42,5140,20,"[1, 2, 4, 8, 16]","[1, 2, 4, 8, 16]",5,False,0.12069164247042796,"[{""decode_step"": 1, ""distortion"": 0.18236646194266004}, {""decode_step"": 2, ""distortion"": 0.08143319525121531}, {""decode_step"": 4, ""distortion"": 0.10748886226370896}, {""decode_step"": 8, ""distortion"": 0.10223975494542996}, {""decode_step"": 16, ""distortion"": 0.12992993794912552}]"
